round_index,p0_action,p1_action,winner,p0_cum_wins,p1_cum_wins
1,[A10 B5 C5],[A10 B8 C2],-1,0,0
2,[A5 B10 C5],[A5 B9 C6],-1,0,0
3,[A6 B10 C4],[A7 B7 C6],1,0,1
4,[A8 B8 C4],[A7 B7 C6],0,1,1
5,[A8 B8 C4],[A11 B3 C6],1,1,2
6,[A6 B8 C6],[A12 B2 C6],-1,1,2
7,[A4 B8 C8],[A2 B11 C7],0,2,2
8,[A6 B8 C6],[A11 B0 C9],1,2,3
9,[A0 B10 C10],[A10 B2 C8],0,3,3
10,[A0 B10 C10],[A9 B0 C11],1,3,4
11,[A10 B10 C0],[A2 B11 C7],1,3,5
12,[A10 B0 C10],[A11 B8 C1],1,3,6
13,[A12 B6 C2],[A1 B11 C8],1,3,7
14,[A8 B8 C4],[A3 B10 C7],1,3,8
15,[A6 B6 C8],[A1 B11 C8],-1,3,8
16,[A8 B8 C4],[A0 B10 C10],1,3,9
