round_index,p0_action,p1_action,winner,p0_cum_wins,p1_cum_wins
1,[A10 B9 C1],[A8 B7 C5],0,1,0
2,[A2 B10 C8],[A8 B10 C2],-1,1,0
3,[A9 B8 C3],[A10 B0 C10],1,1,1
4,[A10 B0 C10],[A11 B0 C9],-1,1,1
5,[A9 B1 C10],[A0 B10 C10],-1,1,1
6,[A12 B7 C1],[A13 B4 C3],1,1,2
7,[A1 B8 C11],[A13 B3 C4],0,2,2
8,[A1 B8 C11],[A13 B3 C4],0,3,2
9,[A1 B8 C11],[A3 B12 C5],1,3,3
10,[A5 B4 C11],[A3 B3 C14],0,4,3
11,[A6 B7 C7],[A6 B11 C3],-1,4,3
12,[A7 B6 C7],[A7 B11 C2],-1,4,3
13,[A9 B5 C6],[A8 B8 C4],0,5,3
14,[A9 B6 C5],[A2 B10 C8],1,5,4
15,[A9 B0 C11],[A2 B9 C9],0,6,4
16,[A0 B10 C10],[A0 B8 C12],-1,6,4
17,[A7 B1 C12],[A11 B9 C0],1,6,5
18,[A12 B2 C6],[A10 B10 C0],0,7,5
19,[A4 B5 C11],[A6 B2 C12],1,7,6
20,[A12 B2 C6],[A0 B8 C12],1,7,7
21,[A8 B11 C1],[A5 B7 C8],0,8,7
22,[A8 B11 C1],[A1 B12 C7],1,8,8
23,[A7 B13 C0],[A1 B12 C7],0,9,8
24,[A5 B13 C2],[A10 B2 C8],1,9,9
25,[A8 B3 C9],[A3 B14 C3],0,10,9
26,[A11 B1 C8],[A1 B7 C12],1,10,10
27,[A7 B9 C4],[A10 B0 C10],1,10,11
28,[A1 B8 C11],[A12 B6 C2],0,11,11
29,[A10 B0 C10],[A9 B0 C11],-1,11,11
30,[A10 B1 C9],[A6 B3 C11],1,11,12
31,[A10 B10 C0],[A5 B3 C12],0,12,12
32,[A8 B8 C4],[A2 B12 C6],1,12,13
33,[A2 B6 C12],[A11 B0 C9],0,13,13
34,[A7 B1 C12],[A10 B1 C9],-1,13,13
35,[A6 B2 C12],[A9 B4 C7],1,13,14
36,[A4 B5 C11],[A12 B6 C2],1,13,15
37,[A11 B1 C8],[A12 B8 C0],1,13,16
38,[A0 B8 C12],[A12 B8 C0],-1,13,16
39,[A1 B9 C10],[A11 B9 C0],-1,13,16
40,[A2 B13 C5],[A1 B9 C10],0,14,16
41,[A3 B12 C5],[A12 B0 C8],1,14,17
42,[A2 B9 C9],[A8 B0 C12],1,14,18
43,[A14 B1 C5],[A7 B13 C0],0,15,18
44,[A14 B5 C1],[A7 B13 C0],0,16,18
45,[A0 B14 C6],[A6 B7 C7],1,16,19
46,[A13 B0 C7],[A3 B10 C7],-1,16,19
47,[A8 B0 C12],[A6 B7 C7],0,17,19
48,[A7 B11 C2],[A9 B2 C9],1,17,20
49,[A9 B10 C1],[A9 B2 C9],-1,17,20
50,[A10 B8 C2],[A11 B7 C2],-1,17,20
