round_index,p0_action,p1_action,winner,p0_cum_wins,p1_cum_wins
1,[A2 B10 C8],[A9 B8 C3],0,1,0
2,[A1 B11 C8],[A6 B3 C11],1,1,1
3,[A0 B10 C10],[A9 B0 C11],1,1,2
4,[A10 B10 C0],[A7 B2 C11],0,2,2
5,[A10 B10 C0],[A9 B0 C11],0,3,2
6,[A11 B9 C0],[A11 B1 C8],-1,3,2
7,[A12 B8 C0],[A4 B14 C2],1,3,3
8,[A12 B5 C3],[A3 B13 C4],1,3,4
9,[A9 B6 C5],[A2 B11 C7],1,3,5
10,[A5 B3 C12],[A2 B12 C6],0,4,5
11,[A8 B0 C12],[A6 B7 C7],0,5,5
12,[A10 B2 C8],[A10 B9 C1],-1,5,5
13,[A10 B10 C0],[A12 B7 C1],1,5,6
14,[A13 B1 C6],[A8 B11 C1],0,6,6
15,[A13 B0 C7],[A0 B7 C13],1,6,7
16,[A4 B12 C4],[A12 B7 C1],0,7,7
17,[A11 B1 C8],[A1 B11 C8],-1,7,7
18,[A9 B2 C9],[A1 B11 C8],0,8,7
19,[A6 B12 C2],[A1 B6 C13],0,9,7
20,[A3 B12 C5],[A13 B6 C1],0,10,7
21,[A4 B12 C4],[A5 B9 C6],1,10,8
22,[A6 B12 C2],[A9 B1 C10],1,10,9
23,[A3 B12 C5],[A7 B13 C0],1,10,10
24,[A10 B7 C3],[A7 B13 C0],0,11,10
25,[A8 B10 C2],[A6 B8 C6],0,12,10
26,[A9 B2 C9],[A11 B2 C7],-1,12,10
27,[A8 B3 C9],[A8 B2 C10],-1,12,10
28,[A9 B8 C3],[A11 B4 C5],1,12,11
29,[A9 B4 C7],[A10 B0 C10],1,12,12
30,[A11 B3 C6],[A0 B10 C10],1,12,13
31,[A12 B7 C1],[A12 B0 C8],-1,12,13
32,[A10 B1 C9],[A1 B9 C10],1,12,14
33,[A9 B10 C1],[A0 B9 C11],0,13,14
34,[A1 B10 C9],[A0 B10 C10],-1,13,14
35,[A9 B11 C0],[A0 B10 C10],0,14,14
36,[A2 B6 C12],[A10 B1 C9],0,15,14
37,[A6 B12 C2],[A2 B9 C9],0,16,14
38,[A6 B12 C2],[A0 B13 C7],1,16,15
39,[A2 B10 C8],[A7 B8 C5],0,17,15
40,[A8 B2 C10],[A2 B12 C6],0,18,15
41,[A2 B6 C12],,0,19,15
