round_index,p0_action,p1_action,winner,p0_cum_wins,p1_cum_wins
1,[A8 B8 C4],[A6 B8 C6],-1,0,0
2,[A8 B4 C8],[A1 B10 C9],1,0,1
3,[A7 B9 C4],[A9 B9 C2],-1,0,1
4,[A5 B10 C5],[A9 B10 C1],-1,0,1
5,[A10 B5 C5],[A11 B0 C9],1,0,2
6,[A7 B7 C6],[A10 B10 C0],1,0,3
7,[A6 B12 C2],[A0 B10 C10],0,1,3
8,[A11 B5 C4],[A8 B6 C6],1,1,4
9,[A2 B12 C6],[A9 B5 C6],-1,1,4
10,[A4 B8 C8],[A8 B6 C6],0,2,4
11,[A6 B7 C7],[A11 B0 C9],1,2,5
12,[A9 B1 C10],[A11 B0 C9],0,3,5
13,[A3 B7 C10],[A10 B0 C10],-1,3,5
14,[A0 B9 C11],[A8 B2 C10],0,4,5
15,[A11 B8 C1],[A7 B13 C0],0,5,5
16,[A8 B7 C5],[A3 B10 C7],1,5,6
17,[A0 B11 C9],[A10 B2 C8],0,6,6
18,[A8 B8 C4],[A1 B12 C7],1,6,7
19,[A2 B10 C8],[A1 B10 C9],-1,6,7
20,[A9 B1 C10],[A5 B11 C4],0,7,7
21,[A8 B4 C8],[A10 B8 C2],1,7,8
22,[A0 B10 C10],[A9 B11 C0],1,7,9
23,[A9 B1 C10],[A10 B10 C0],1,7,10
24,[A0 B12 C8],[A9 B11 C0],0,8,10
25,[A10 B0 C10],[A1 B7 C12],1,8,11
26,[A2 B8 C10],[A1 B7 C12],0,9,11
27,[A10 B8 C2],[A7 B2 C11],0,10,11
28,[A8 B8 C4],[A7 B2 C11],0,11,11
29,[A8 B3 C9],[A9 B11 C0],1,11,12
30,[A10 B0 C10],[A9 B11 C0],0,12,12
31,[A0 B12 C8],[A10 B2 C8],-1,12,12
32,[A0 B12 C8],[A1 B8 C11],1,12,13
33,[A10 B10 C0],[A1 B8 C11],0,13,13
34,[A10 B10 C0],[A1 B12 C7],1,13,14
35,[A8 B4 C8],[A1 B8 C11],1,13,15
36,[A2 B9 C9],[A1 B8 C11],0,14,15
37,[A5 B10 C5],[A0 B10 C10],-1,14,15
38,[A2 B9 C9],[A0 B11 C9],-1,14,15
39,[A5 B12 C3],[A10 B10 C0],0,15,15
40,[A2 B12 C6],[A7 B13 C0],1,15,16
41,[A9 B1 C10],[A10 B0 C10],-1,15,16
42,[A0 B9 C11],[A6 B13 C1],1,15,17
43,[A8 B8 C4],[A1 B12 C7],1,15,18
44,[A4 B8 C8],[A9 B0 C11],1,15,19
45,[A0 B8 C12],[A9 B0 C11],0,16,19
46,[A0 B8 C12],[A0 B11 C9],-1,16,19
47,[A5 B5 C10],[A2 B12 C6],0,17,19
48,[A10 B0 C10],[A1 B10 C9],0,18,19
49,[A9 B1 C10],[A11 B9 C0],1,18,20
50,[A0 B10 C10],[A11 B9 C0],0,19,20
