round_index,p0_action,p1_action,winner,p0_cum_wins,p1_cum_wins
1,[A7 B7 C6],[A10 B8 C2],1,0,1
2,[A5 B10 C5],[A1 B9 C10],0,1,1
3,[A5 B10 C5],[A6 B8 C6],1,1,2
4,[A7 B9 C4],[A10 B3 C7],1,1,3
5,[A5 B8 C7],[A9 B2 C9],1,1,4
6,[A4 B10 C6],[A10 B1 C9],1,1,5
7,[A4 B6 C10],[A10 B2 C8],0,2,5
8,[A2 B8 C10],[A10 B1 C9],0,3,5
9,[A5 B5 C10],[A9 B3 C8],0,4,5
10,[A7 B4 C9],[A8 B11 C1],1,4,6
11,[A5 B10 C5],[A8 B12 C0],1,4,7
12,[A9 B0 C11],[A8 B11 C1],0,5,7
13,[A9 B0 C11],[A9 B0 C11],-1,5,7
14,[A10 B10 C0],[A10 B10 C0],-1,5,7
15,[A5 B10 C5],[A11 B1 C8],1,5,8
16,[A5 B10 C5],[A9 B0 C11],1,5,9
17,[A10 B10 C0],[A9 B0 C11],0,6,9
18,[A10 B10 C0],[A11 B2 C7],1,6,10
19,[A0 B10 C10],[A8 B11 C1],1,6,11
20,[A0 B11 C9],[A9 B11 C0],-1,6,11
21,[A10 B0 C10],[A7 B12 C1],0,7,11
22,[A10 B0 C10],[A11 B1 C8],1,7,12
23,[A0 B10 C10],[A1 B11 C8],1,7,13
24,[A10 B0 C10],[A6 B11 C3],0,8,13
25,[A10 B0 C10],[A8 B1 C11],1,8,14
26,[A9 B10 C1],[A8 B1 C11],0,9,14
27,[A10 B10 C0],[A11 B1 C8],1,9,15
28,[A9 B10 C1],[A1 B7 C12],0,10,15
29,[A10 B10 C0],[A1 B11 C8],1,10,16
30,[A10 B0 C10],[A11 B2 C7],1,10,17
31,[A12 B0 C8],[A11 B1 C8],-1,10,17
32,[A9 B10 C1],[A13 B1 C6],1,10,18
33,[A0 B10 C10],[A11 B1 C8],0,11,18
34,[A0 B10 C10],[A3 B12 C5],1,11,19
35,[A10 B0 C10],[A10 B0 C10],-1,11,19
36,[A0 B11 C9],[A11 B1 C8],0,12,19
37,[A0 B10 C10],[A11 B1 C8],0,13,19
38,[A0 B10 C10],[A1 B8 C11],1,13,20
39,[A10 B10 C0],[A1 B8 C11],0,14,20
40,[A8 B8 C4],[A11 B1 C8],1,14,21
41,[A0 B11 C9],[A1 B11 C8],-1,14,21
42,[A10 B0 C10],[A1 B12 C7],0,15,21
43,[A10 B0 C10],[A11 B3 C6],1,15,22
44,[A0 B10 C10],[A11 B2 C7],0,16,22
45,[A0 B10 C10],[A1 B12 C7],1,16,23
46,[A2 B0 C18],[A13 B1 C6],1,16,24
47,[A0 B2 C18],[A1 B11 C8],1,16,25
48,[A5 B5 C10],[A4 B4 C12],0,17,25
49,[A8 B8 C4],[A6 B3 C11],0,18,25
50,[A10 B10 C0],[A1 B11 C8],1,18,26
