round_index,p0_action,p1_action,winner,p0_cum_wins,p1_cum_wins
1,[A7 B7 C6],[A3 B9 C8],1,0,1
2,[A4 B10 C6],[A9 B8 C3],0,1,1
3,[A5 B10 C5],[A11 B1 C8],1,1,2
4,[A4 B10 C6],[A9 B2 C9],1,1,3
5,[A0 B10 C10],[A10 B1 C9],0,2,3
6,[A0 B10 C10],[A8 B0 C12],1,2,4
7,[A10 B10 C0],[A8 B11 C1],1,2,5
8,[A10 B0 C10],[A1 B12 C7],0,3,5
9,[A10 B0 C10],[A8 B1 C11],1,3,6
10,[A10 B10 C0],[A1 B11 C8],1,3,7
11,[A8 B0 C12],[A1 B11 C8],0,4,7
12,[A10 B0 C10],[A11 B2 C7],1,4,8
13,[A5 B5 C10],[A1 B11 C8],0,5,8
14,[A0 B10 C10],[A8 B1 C11],1,5,9
15,[A6 B2 C12],[A11 B8 C1],1,5,10
16,[A5 B10 C5],[A11 B8 C1],0,6,10
17,[A0 B10 C10],[A8 B1 C11],1,6,11
