round_index,p0_action,p1_action,winner,p0_cum_wins,p1_cum_wins
1,[A7 B7 C6],[A8 B9 C3],1,0,1
2,[A9 B5 C6],[A4 B8 C8],1,0,2
3,[A5 B10 C5],[A3 B8 C9],0,1,2
4,[A5 B9 C6],[A9 B8 C3],0,2,2
5,[A6 B8 C6],[A6 B7 C7],-1,2,2
6,[A7 B8 C5],[A10 B1 C9],1,2,3
7,[A4 B8 C8],[A11 B1 C8],-1,2,3
8,[A5 B9 C6],[A10 B1 C9],1,2,4
9,[A0 B10 C10],[A11 B0 C9],0,3,4
10,[A0 B10 C10],[A7 B2 C11],1,3,5
11,[A5 B10 C5],[A9 B0 C11],1,3,6
12,[A10 B10 C0],[A9 B0 C11],0,4,6
13,[A0 B8 C12],[A10 B0 C10],0,5,6
14,[A10 B10 C0],[A2 B11 C7],1,5,7
15,[A0 B12 C8],[A2 B11 C7],0,6,7
16,[A0 B12 C8],[A6 B12 C2],-1,6,7
17,[A5 B10 C5],[A1 B11 C8],1,6,8
18,[A0 B12 C8],[A1 B13 C6],1,6,9
19,[A5 B0 C15],[A10 B0 C10],-1,6,9
20,[A10 B0 C10],[A1 B13 C6],0,7,9
21,[A5 B10 C5],[A1 B11 C8],1,7,10
22,[A10 B0 C10],[A1 B13 C6],0,8,10
23,[A10 B0 C10],[A8 B1 C11],1,8,11
24,[A10 B10 C0],[A11 B1 C8],1,8,12
25,[A8 B7 C5],[A8 B1 C11],-1,8,12
