round_index,p0_action,p1_action,winner,p0_cum_wins,p1_cum_wins
1,[A8 B8 C4],[A8 B8 C4],-1,0,0
2,[A9 B9 C2],[A9 B6 C5],-1,0,0
3,[A10 B10 C0],[A5 B9 C6],0,1,0
4,[A10 B9 C1],[A0 B11 C9],1,1,1
5,[A8 B0 C12],[A0 B11 C9],0,2,1
6,[A10 B0 C10],[A9 B6 C5],0,3,1
7,[A1 B12 C7],[A11 B9 C0],0,4,1
8,[A0 B10 C10],[A10 B0 C10],-1,4,1
9,[A11 B0 C9],[A7 B7 C6],0,5,1
10,[A9 B11 C0],[A0 B11 C9],-1,5,1
11,[A0 B10 C10],[A7 B7 C6],0,6,1
12,[A0 B10 C10],[A9 B11 C0],1,6,2
13,[A10 B0 C10],[A1 B11 C8],0,7,2
14,[A1 B12 C7],[A1 B11 C8],-1,7,2
15,[A10 B0 C10],[A7 B7 C6],0,8,2
16,[A10 B0 C10],[A11 B9 C0],1,8,3
17,[A2 B12 C6],[A6 B1 C13],1,8,4
18,[A1 B9 C10],[A11 B9 C0],-1,8,4
19,[A11 B0 C9],[A7 B2 C11],1,8,5
20,[A1 B12 C7],[A7 B2 C11],1,8,6
21,[A9 B11 C0],[A11 B7 C2],1,8,7
22,[A3 B12 C5],[A7 B9 C4],0,9,7
23,[A1 B12 C7],[A10 B0 C10],1,9,8
24,[A11 B0 C9],[A10 B0 C10],-1,9,8
25,[A11 B2 C7],[A10 B0 C10],0,10,8
26,[A12 B2 C6],[A11 B7 C2],0,11,8
27,[A12 B1 C7],[A0 B10 C10],1,11,9
28,[A9 B11 C0],[A0 B10 C10],0,12,9
29,[A0 B9 C11],[A10 B0 C10],0,13,9
30,[A11 B0 C9],[A5 B10 C5],0,14,9
31,[A9 B11 C0],[A0 B10 C10],0,15,9
32,[A0 B9 C11],[A0 B10 C10],-1,15,9
33,[A1 B7 C12],[A10 B10 C0],1,15,10
34,[A11 B0 C9],[A10 B0 C10],-1,15,10
35,[A1 B12 C7],[A0 B10 C10],0,16,10
36,[A8 B11 C1],[A0 B10 C10],0,17,10
37,[A0 B11 C9],[A4 B12 C4],1,17,11
38,[A7 B2 C11],[A1 B9 C10],0,18,11
39,[A11 B2 C7],[A10 B0 C10],0,19,11
40,[A10 B10 C0],[A0 B10 C10],-1,19,11
41,[A4 B4 C12],[A0 B10 C10],0,20,11
42,[A8 B1 C11],[A6 B7 C7],0,21,11
43,[A7 B12 C1],[A10 B7 C3],1,21,12
44,[A12 B1 C7],[A11 B7 C2],0,22,12
45,[A1 B12 C7],[A0 B10 C10],0,23,12
46,[A8 B1 C11],[A10 B0 C10],0,24,12
47,[A1 B8 C11],[A0 B10 C10],0,25,12
48,[A1 B8 C11],[A2 B9 C9],1,25,13
49,[A3 B3 C14],[A7 B7 C6],1,25,14
50,[A8 B1 C11],[A7 B7 C6],0,26,14
